Material,Source (link),Person Buying,Notes,QTY,Price,Total
Sorbent Beads (dowex 50 mesh),https://www.sigmaaldrich.com/catalog/product/sial/44290?lang=en&region=US,RZ,,1,$114, $ 114.29 
Column A - 9ml Volume,https://www.amazon.com/gp/product/B007PD1O5A/ref=ppx_yo_dt_b_asin_title_o02_s00?ie=UTF8&psc=1,MP,,1,$34, $ 33.92 
Column B - 4ml Volume,https://www.amazon.com/gp/product/B007PCZJ84/ref=ppx_yo_dt_b_asin_title_o02_s01?ie=UTF8&psc=1,MP,,1,$23, $ 22.63 
3D printed sensor hat,LP/MPx2,MP to print,,2,$0, $ -   
Aquarium pump,https://www.amazon.com/Imagitarium-Air-Pump-3-5W-3-5/dp/B079VVGV48/ref=sr_1_2?keywords=imagitarium+air+pump&qid=1582913452&s=industrial&sr=8-2,MP,,1,$28, $ 27.75 
Sensor(s),https://www.sparkfun.com/products/15112,PC+WC,,2,$60, $ 119.90 
"Luer fittings 1/8"" barb (M)",https://www.amazon.com/gp/product/B08414Q7JK/ref=crt_ewc_title_huc_1?ie=UTF8&psc=1&smid=ACQ3SEW2JDDQU,MP,,1,$7, $ 6.99 
"Luer fittings 1/8"" barb (F)",https://www.amazon.com/RSN-Female-luer-Lock-Adapter/dp/B07W5S3PKG,MP,,1,$12, $ 11.99 
"Luer fittings, 3-Way",https://www.amazon.com/gp/product/B07QWM8FFJ,MP,,1,$17, $ 16.95 
"PDMS 1/8"" ID tubing",https://www.amazon.com/gp/product/B01NCKGF6V/ref=ppx_yo_dt_b_asin_title_o01_s00?ie=UTF8&psc=1,MP,25 ft,1,$15,$15
Luer Adapters,???,https://www.mcmaster.com/luer,,,,
,,,,,,
,,,,,Total: , $ 369.41 